"Hour,Volume,Price"
"1,4200.3,200"
"1,4207.6,200"
"1,4207.6,200.1"
"1,4227.4,200.1"
"1,4227.4,244"
"1,4302.4,244"
"1,4302.4,299.9"
"1,4309.4,299.9"
"1,4309.4,300"
"1,4398.4,300"
"1,4398.4,300.1"
"1,4399.9,300.1"
"1,4399.9,350.1"
"1,4403.9,350.1"
"1,4403.9,399.9"
"1,4408.8,399.9"
"1,4408.8,499.9"
"1,4411.3,499.9"
"1,4411.3,699.9"
"1,4411.8,699.9"
"1,4411.8,799.9"
"1,4413.6,799.9"
"1,4413.7,799.9"
"1,4413.7,899.9"
"1,4414.7,899.9"
"1,4414.7,999.9"
"1,4423.2,999.9"
"1,4433.6,999.9"
"1,4433.6,2500"
"1,4433.9,2500"
"1,4433.9,2999"
"1,4503.1,2999"
"1,4503.1,3000"
"2,3333.5,-500"
"2,3333.5,-200"
"2,3474.1,-200"
"2,3474.1,-150"
"2,3536.3,-150"
"2,3536.3,-100"
"2,3650.3,-100"
"2,3650.3,-50"
"2,3680.3,-50"
"2,3680.3,-44.7"
"2,3796.9,-44.7"
"2,3796.9,-25"
"2,3798.4,-25"
"2,3798.4,-0.5"
"2,3798.5,-0.5"
"2,3798.5,1"
"2,3806,1"
"2,3806,10"
"2,3807.7,10"
"2,3807.7,13.4"
"2,3817.8,13.4"
"2,3817.8,13.8"
"2,3827.9,13.8"
"2,3827.9,14.5"
"2,3838,14.5"
"2,3838,15"
"2,3838.1,15"
"2,3838.1,16.5"
"2,3850.1,16.5"
"2,3850.1,17"
"2,3850.2,17"
"2,3850.2,18"
"2,3851.2,18"
"2,3851.2,18.4"
"2,3861.3,18.4"
"2,3861.3,25"
"2,3863.5,25"
"2,3863.5,26"
"2,3873.6,26"
"2,3873.6,28"
"2,3875.2,28"
"2,3875.2,29"
"2,3885.3,29"
"2,3885.3,30"
"2,3886.2,30"
"2,3886.2,30.1"
"2,3887.4,30.1"
"2,3887.4,31"
"2,3887.5,31"
"2,3887.5,33"
"2,3887.6,33"
"2,3887.6,35"
"2,3889.3,35"
"2,3889.3,35.1"
"2,3889.8,35.1"
"2,3889.8,36"
"2,3891.5,36"
"2,3891.5,38.5"
"2,3893.9,38.5"
"2,3893.9,39.5"
"2,3894.4,39.5"
"2,3894.4,40"
"2,3897.4,40"
"2,3897.4,40.5"
"2,3900,40.5"
"2,3900,42"
"2,3900.9,42"
"2,3900.9,43.5"
"2,3902.5,43.5"
"2,3902.5,44.5"
"2,3906.3,44.5"
"2,3906.3,45"
"2,3907.2,45"
"2,3907.2,45.1"
"2,3950.9,45.1"
"2,3950.9,45.5"
"2,3952.7,45.5"
"2,3952.7,47"
"2,3959,47"
"2,3959,47.5"
"2,3960.9,47.5"
"2,3960.9,48"
"2,3965.4,48"
"2,3965.4,49"
"2,3972,49"
"2,3972,49.5"
"2,3973.8,49.5"
"2,3973.8,50"
"2,3979,50"
"2,3979,50.5"
"2,3980.9,50.5"
"2,3980.9,51.5"
"2,3982.3,51.5"
"2,3982.3,54"
"2,3984.7,54"
"2,3989.7,54"
"2,3989.7,55.1"
"2,3994.5,55.1"
"2,3994.5,60"
"2,4010,60"
"2,4010.2,60"
"2,4010.2,60.1"
"2,4016.4,60.1"
"2,4016.4,61"
"2,4041.4,61"
"2,4041.4,63"
"2,4051.1,63"
"2,4051.1,64"
"2,4076.1,64"
"2,4076.1,65"
"2,4078.3,65"
"2,4078.3,65.1"
"2,4080.1,65.1"
"2,4080.1,67"
"2,4083,67"
"2,4083,69"
"2,4085.6,69"
"2,4085.6,69.9"
"2,4085.7,69.9"
"2,4085.7,70"
"2,4088.4,70"
"2,4088.4,70.1"
"2,4111.9,70.1"
"2,4111.9,73"
"2,4113,73"
"2,4113,74.9"
"2,4125.5,74.9"
"2,4125.9,74.9"
"2,4125.9,75"
"2,4126.9,75"
"2,4126.9,75.1"
"2,4127.5,75.1"
"2,4127.5,78"
"2,4131.6,78"
"2,4131.6,79.9"
"2,4142.9,79.9"
"2,4145.4,79.9"
"2,4145.4,80"
"2,4172.3,80"
"2,4172.3,80.1"
"2,4181.1,80.1"
"2,4181.1,84.9"
"2,4189.4,84.9"
"2,4190.5,84.9"
"2,4190.5,87"
"2,4191.9,87"
"2,4191.9,88"
"2,4192.7,88"
"2,4192.7,89.9"
"2,4201.6,89.9"
"2,4201.6,90"
"2,4207.4,90"
"2,4207.4,90.1"
"2,4220.4,90.1"
"2,4220.4,94.9"
"2,4221.8,94.9"
"2,4221.8,95"
"2,4222.5,95"
"2,4222.5,99.9"
"2,4232.2,99.9"
"2,4233.3,99.9"
"2,4233.3,100"
"2,4245.8,100"
"2,4245.8,100.1"
"2,4281.9,100.1"
"2,4281.9,101"
"2,4306.9,101"
"2,4306.9,104.9"
"24,311,104.90"
"2,4311.2,104.9"
"2,4311.2,109.9"
"2,4313.4,109.9"
"2,4313.4,114.9"
"2,4314.5,114.9"
"2,4314.5,119.9"
"2,4317.5,119.9"
"2,4317.5,124.9"
"2,4320.7,124.9"
"2,4320.7,129.9"
"2,4323.5,129.9"
"2,4323.5,134.9"
"2,4325.9,134.9"
"2,4325.9,139.9"
"2,4327.8,139.9"
"2,4327.8,141"
"2,4352.8,141"
"2,4352.8,144.9"
"2,4353.6,144.9"
"2,4353.6,149.9"
"2,4353.8,149.9"
"2,4353.8,150"
"2,4389.9,150"
"2,4389.9,150.1"
"2,4411.7,150.1"
"2,4411.7,159.9"
"2,4413.1,159.9"
"2,4413.1,164.9"
"2,4414.1,164.9"
"2,4414.1,170.1"
"2,4418.1,170.1"
"2,4418.1,174.9"
"2,4418.6,174.9"
"2,4418.6,191"
"2,4468.6,191"
"2,4468.6,200"
"2,4475.9,200"
"2,4475.9,200.1"
"2,4495.7,200.1"
"2,4495.7,241"
"2,4570.7,241"
"2,4570.7,299.9"
"2,4577.7,299.9"
"2,4577.7,300"
"2,4666.7,300"
"2,4666.7,300.1"
"24,670,300.10"
"24,670,399.90"
"2,4674.9,399.9"
"2,4674.9,499.9"
"2,4677.4,499.9"
"2,4677.4,500.1"
"2,4681.4,500.1"
"2,4681.4,699.9"
"2,4681.9,699.9"
"2,4681.9,799.9"
"2,4683.7,799.9"
"2,4683.8,799.9"
"2,4683.8,899.9"
"2,4684.8,899.9"
"2,4684.8,999.9"
"2,4693.3,999.9"
"2,4703.9,999.9"
"2,4703.9,2500"
"2,4704.2,2500"
"2,4704.2,2999"
"2,4773.1,2999"
"2,4773.1,3000"
"3,3244.8,-500"
"3,3244.8,-200"
"3,3398.3,-200"
"3,3398.3,-150"
"3,3460.4,-150"
"3,3460.4,-100"
"3,3573.1,-100"
"3,3573.1,-50"
"3,3603.1,-50"
"3,3603.1,-44.7"
"3,3719.5,-44.7"
"3,3719.5,-25"
"3,3722,-25"
"3,3722,-0.5"
"3,3722.1,-0.5"
"3,3722.1,1"
"3,3729.6,1"
"3,3729.6,10"
"3,3730.8,10"
"3,3730.8,13.4"
"3,3740.9,13.4"
"3,3740.9,13.7"
"3,3751,13.7"
"3,3751,14"
"3,3753.4,14"
"3,3753.4,14.5"
"3,3763.5,14.5"
"3,3763.5,15"
"3,3765,15"
"3,3765,16.5"
"3,3777,16.5"
"3,3777,17"
"3,3777.1,17"
"3,3777.1,18"
"3,3778.1,18"
"3,3778.1,18.4"
"3,3788.2,18.4"
"3,3788.2,19"
"3,3788.3,19"
"3,3788.3,25"
"3,3792.5,25"
"3,3792.5,26"
"3,3802.6,26"
"3,3802.6,28"
"3,3804.2,28"
"3,3804.2,29"
"3,3814.3,29"
"3,3814.3,30"
"3,3815.1,30"
"3,3815.1,30.1"
"3,3816.3,30.1"
"3,3816.3,31"
"3,3816.4,31"
"3,3816.4,33"
"3,3816.5,33"
"3,3816.5,35"
"3,3818.2,35"
"3,3818.2,35.1"
"3,3818.7,35.1"
"3,3818.7,36"
"3,3820.4,36"
"3,3820.4,38.5"
"3,3822.8,38.5"
"3,3822.8,39.5"
"3,3823.1,39.5"
"3,3823.1,40"
"3,3826.1,40"
"3,3826.1,40.5"
"3,3828.8,40.5"
"3,3828.8,42"
"3,3829.6,42"
"3,3829.6,43.5"
"3,3831.2,43.5"
"3,3831.2,44.5"
"3,3835.1,44.5"
"3,3835.1,45"
"3,3835.9,45"
"3,3835.9,45.1"
"3,3879.6,45.1"
"3,3879.6,45.5"
"3,3881.4,45.5"
"3,3881.4,47"
"3,3887.7,47"
"3,3887.7,47.5"
"3,3889.6,47.5"
"3,3889.6,48"
"3,3894.1,48"
"3,3894.1,49"
"3,3900.7,49"
"3,3900.7,49.5"
"3,3902.5,49.5"
"3,3902.5,50"
"3,3907.7,50"
"3,3907.7,50.5"
"3,3909.6,50.5"
"3,3909.6,51.5"
"3,3911,51.5"
"3,3911,52"
"3,3916,52"
"3,3916,54"
"3,3918.4,54"
"3,3918.4,54.9"
"3,3921.6,54.9"
"3,3921.8,54.9"
"3,3921.8,55.1"
"3,3926.6,55.1"
"3,3926.6,57.4"
"3,3935.8,57.4"
"3,3935.8,59"
"3,3960.8,59"
"3,3960.8,59.9"
"3,3965,59.9"
"3,3966.5,59.9"
"3,3966.5,60"
"3,3982.3,60"
"3,3982.3,60.1"
"3,3988.5,60.1"
"3,3988.5,62"
"3,4013.5,62"
"3,4013.5,63"
"3,4023.2,63"
"3,4023.2,64.9"
"3,4025.3,64.9"
"3,4025.5,64.9"
"3,4025.5,65"
"3,4028.1,65"
"3,4028.1,65.1"
"3,4029.9,65.1"
"3,4029.9,67"
"3,4032.8,67"
"3,4032.8,69"
"3,4035.4,69"
"3,4035.4,69.9"
"3,4043.3,69.9"
"3,4044.7,69.9"
"3,4044.7,70"
"3,4047.4,70"
"3,4047.4,70.1"
"3,4070.9,70.1"
"3,4070.9,73"
"3,4072,73"
"3,4072,74.9"
"3,4078.1,74.9"
"3,4078.5,74.9"
"3,4078.5,75"
"3,4079.5,75"
"3,4079.5,75.1"
"3,4080.1,75.1"
"3,4080.1,78"
"3,4084.2,78"
"3,4084.2,79.9"
"3,4102.7,79.9"
"3,4105.2,79.9"
"3,4105.2,80"
"3,4132.1,80"
"3,4132.1,80.1"
"3,4140.9,80.1"
"3,4140.9,84.9"
"3,4147.7,84.9"
"3,4151.3,84.9"
"3,4151.3,87"
"3,4152.7,87"
"3,4152.7,88"
"3,4153.5,88"
"3,4153.5,89.9"
"3,4162.4,89.9"
"3,4162.4,90"
"3,4168.2,90"
"3,4168.2,90.1"
"3,4181.2,90.1"
"3,4181.2,94.9"
"3,4182.6,94.9"
"3,4182.6,95"
"3,4183.3,95"
"3,4183.3,99"
"3,4208.3,99"
"3,4208.3,99.9"
"3,4219.5,99.9"
"3,4221.1,99.9"
"3,4221.1,100"
"3,4234.7,100"
"3,4234.7,100.1"
"3,4270.8,100.1"
"3,4270.8,104.9"
"3,4274.9,104.9"
"3,4275.1,104.9"
"3,4275.1,109.9"
"3,4277.3,109.9"
"3,4277.3,114.9"
"3,4278.4,114.9"
"3,4278.4,119.9"
"3,4281.4,119.9"
"3,4281.4,124.9"
"3,4284.6,124.9"
"3,4284.6,129.9"
"3,4287.4,129.9"
"3,4287.4,134.9"
"3,4289.8,134.9"
"3,4289.8,139"
"3,4314.8,139"
"3,4314.8,139.9"
"3,4316.7,139.9"
"3,4316.7,144.9"
"3,4317.5,144.9"
"3,4317.5,149.9"
"3,4317.7,149.9"
"3,4317.7,150"
"3,4349.9,150"
"3,4350.5,150"
"3,4350.5,150.1"
"3,4372.3,150.1"
"3,4372.3,159.9"
"3,4373.7,159.9"
"3,4373.7,164.9"
"3,4374.7,164.9"
"3,4374.7,170.1"
"3,4378.7,170.1"
"3,4378.7,174.9"
"3,4379.2,174.9"
"3,4379.2,189"
"3,4429.2,189"
"3,4429.2,190.1"
"34,431,190.10"
"34,431,200"
"3,4438.3,200"
"3,4438.3,200.1"
"3,4458.1,200.1"
"3,4458.1,239"
"3,4533.1,239"
"3,4533.1,299.9"
